ItemID,Weight,Size,Fragility,storedIn,DestinationWarehouse
Item_1,8.43,3.36,High,Bin,Warehouse_A
Item_2,28.31,0.98,Medium,Pallet,Warehouse_A
Item_3,4.27,4.68,Low,Pallet,Warehouse_A
Item_4,47.58,0.69,Low,Bin,Warehouse_A
Item_5,46.18,2.65,Low,Shelf,Warehouse_B
Item_6,30.55,4.69,Low,Shelf,Warehouse_B
Item_7,5.29,3.93,Medium,Pallet,Warehouse_A
Item_8,49.6,4.58,Medium,Bin,Warehouse_A
Item_9,29.32,3.69,Low,Bin,Warehouse_A
Item_10,0.49,1.44,Low,Pallet,Warehouse_A
Item_11,35.11,4.99,Medium,Shelf,Warehouse_B
Item_12,40.99,4.43,Low,Pallet,Warehouse_A
Item_13,12.74,0.85,Medium,Pallet,Warehouse_A
Item_14,42.31,2.42,Medium,Shelf,Warehouse_B
Item_15,44.63,4.35,High,Shelf,Warehouse_B
Item_16,6.97,4.53,Low,Bin,Warehouse_A
Item_17,12.69,4.14,Low,Shelf,Warehouse_B
Item_18,10.0,3.71,High,Pallet,Warehouse_A
Item_19,8.97,0.6,Low,Bin,Warehouse_A
Item_20,28.54,3.07,Low,Bin,Warehouse_A
Item_21,5.84,3.68,Medium,Shelf,Warehouse_C
Item_22,8.91,3.87,Low,Bin,Warehouse_A
Item_23,43.19,4.69,Low,Shelf,Warehouse_B
Item_24,3.21,2.99,Low,Shelf,Warehouse_C
Item_25,0.24,2.93,Low,Shelf,Warehouse_C
Item_26,40.73,2.14,Medium,Pallet,Warehouse_A
Item_27,0.24,0.48,Low,Shelf,Warehouse_C
Item_28,9.27,0.17,Low,Pallet,Warehouse_A
Item_29,20.17,1.16,Low,Pallet,Warehouse_A
Item_30,19.57,2.7,Medium,Shelf,Warehouse_B
Item_31,22.03,3.65,Low,Bin,Warehouse_A
Item_32,15.42,0.8,Medium,Pallet,Warehouse_A
Item_33,20.6,2.33,Low,Pallet,Warehouse_A
Item_34,34.65,4.13,Low,Bin,Warehouse_A
Item_35,3.85,3.56,Medium,Bin,Warehouse_C
Item_36,49.9,0.89,Medium,Shelf,Warehouse_B
Item_37,25.91,4.96,Low,Pallet,Warehouse_A
Item_38,42.25,3.65,Low,Pallet,Warehouse_A
Item_39,39.58,1.17,Low,Pallet,Warehouse_A
Item_40,2.61,0.35,Medium,Pallet,Warehouse_A
Item_41,30.02,0.27,Low,Shelf,Warehouse_B
Item_42,44.88,2.56,Low,Shelf,Warehouse_B
Item_43,49.83,1.64,Medium,Shelf,Warehouse_B
Item_44,15.97,4.42,High,Bin,Warehouse_A
Item_45,5.77,0.85,Low,Pallet,Warehouse_A
Item_46,7.63,1.43,Medium,Shelf,Warehouse_C
Item_47,10.23,1.14,Low,Pallet,Warehouse_A
Item_48,45.35,1.4,Medium,Pallet,Warehouse_A
Item_49,9.76,1.97,Low,Pallet,Warehouse_A
Item_50,7.38,3.97,Medium,Pallet,Warehouse_A
Item_51,1.17,4.94,Medium,Shelf,Warehouse_C
Item_52,7.21,2.93,Medium,Pallet,Warehouse_A
Item_53,32.81,0.7,Low,Shelf,Warehouse_B
Item_54,44.44,0.39,High,Shelf,Warehouse_B
Item_55,5.53,2.65,Low,Shelf,Warehouse_C
Item_56,2.01,1.39,High,Bin,Warehouse_C
Item_57,21.13,3.36,Medium,Shelf,Warehouse_B
Item_58,32.69,1.29,Medium,Pallet,Warehouse_A
Item_59,0.18,3.97,Low,Shelf,Warehouse_C
Item_60,37.74,0.18,Low,Bin,Warehouse_A
Item_61,9.99,4.09,Low,Bin,Warehouse_A
Item_62,1.01,2.49,Low,Bin,Warehouse_C
Item_63,32.88,3.92,Low,Shelf,Warehouse_B
Item_64,47.59,2.47,Low,Pallet,Warehouse_A
Item_65,6.52,0.16,Medium,Shelf,Warehouse_C
Item_66,44.01,3.62,Low,Shelf,Warehouse_B
Item_67,0.36,1.8,Medium,Pallet,Warehouse_A
Item_68,6.7,0.37,High,Bin,Warehouse_A
Item_69,22.12,0.66,Medium,Pallet,Warehouse_A
Item_70,32.45,2.81,Medium,Bin,Warehouse_A
